Sexo;País de nacimiento;Relación con la actividad;Periodo;Total
Total;Etiopía;Inactivo/a;2021;1.477
Total;Filipinas;Total;2022;51.189
Total;Filipinas;Total;2021;50.166
Total;Filipinas;Ocupado/a;2022;30.823
Total;Filipinas;Ocupado/a;2021;28.293
Total;Filipinas;Parado/a;2022;1.741
Total;Filipinas;Parado/a;2021;3.094
Total;Filipinas;Inactivo/a;2022;18.625
Total;Filipinas;Inactivo/a;2021;18.779
Total;Finlandia;Total;2022;10.884
Total;Finlandia;Total;2021;10.649
Total;Finlandia;Ocupado/a;2022;2.590
Total;Finlandia;Ocupado/a;2021;2.405
Total;Finlandia;Parado/a;2022;218
Total;Finlandia;Parado/a;2021;326
Total;Finlandia;Inactivo/a;2022;8.076
Total;Finlandia;Inactivo/a;2021;7.918
Total;Francia;Total;2022;201.238
Total;Francia;Total;2021;198.979
Total;Francia;Ocupado/a;2022;104.483
Total;Francia;Ocupado/a;2021;100.900
Total;Francia;Parado/a;2022;15.835
Total;Francia;Parado/a;2021;19.049
Total;Francia;Inactivo/a;2022;80.920
Total;Francia;Inactivo/a;2021;79.030
Total;Gambia;Total;2022;24.275
Total;Gambia;Total;2021;22.795
Total;Gambia;Ocupado/a;2022;11.530
Total;Gambia;Ocupado/a;2021;9.961
Total;Gambia;Parado/a;2022;2.237
Total;Gambia;Parado/a;2021;3.052
Total;Gambia;Inactivo/a;2022;10.508
Total;Gambia;Inactivo/a;2021;9.782
Total;Georgia;Total;2022;17.192
Total;Georgia;Total;2021;16.875
Total;Georgia;Ocupado/a;2022;6.929
Total;Georgia;Ocupado/a;2021;6.261
Total;Georgia;Parado/a;2022;1.232
Total;Georgia;Parado/a;2021;1.852
Total;Georgia;Inactivo/a;2022;9.031
Total;Georgia;Inactivo/a;2021;8.762
Total;Ghana;Total;2022;19.286
Total;Ghana;Total;2021;18.877
Total;Ghana;Ocupado/a;2022;9.781
Total;Ghana;Ocupado/a;2021;8.922
Total;Ghana;Parado/a;2022;1.736
Total;Ghana;Parado/a;2021;2.192
Total;Ghana;Inactivo/a;2022;7.769
Total;Ghana;Inactivo/a;2021;7.763
Total;Grecia;Total;2022;4.636
Total;Grecia;Total;2021;4.496
Total;Grecia;Ocupado/a;2022;2.489
Total;Grecia;Ocupado/a;2021;2.228
Total;Grecia;Parado/a;2022;255
Total;Grecia;Parado/a;2021;346
Total;Grecia;Inactivo/a;2022;1.892
Total;Grecia;Inactivo/a;2021;1.922
Total;Guatemala;Total;2022;14.186
